UserId,Date
"1128103","2012-12-21 00:00:00"
"1878073","2013-02-01 00:00:00"
"1484779","2013-02-25 00:00:00"
"1028481","2012-06-16 00:00:00"
"1136141","2012-07-31 00:00:00"
"1188942","2012-08-05 00:00:00"
"448625","2012-10-05 00:00:00"
"1359042","2012-10-05 00:00:00"
"990877","2012-01-16 00:00:00"
"1389394","2012-12-20 00:00:00"
"875943","2012-12-27 00:00:00"
"814761","2012-02-15 00:00:00"
"799342","2013-01-27 00:00:00"
"307705","2012-09-12 00:00:00"
"1622241","2012-10-03 00:00:00"
"1617954","2012-10-26 00:00:00"
"1726343","2012-11-26 00:00:00"
"606664","2012-01-12 00:00:00"
"1023815","2012-01-27 00:00:00"
"248123","2012-02-28 00:00:00"
"1247781","2013-01-24 00:00:00"
"392044","2013-01-24 00:00:00"
"443","2013-02-13 00:00:00"
"1097148","2013-01-07 00:00:00"
"21567","2012-03-09 00:00:00"
"589206","2012-05-01 00:00:00"
"567864","2012-08-23 00:00:00"
"773159","2012-08-23 00:00:00"
"1438733","2012-11-04 00:00:00"
"1421049","2012-11-04 00:00:00"
"1750604","2012-11-18 00:00:00"
"299327","2012-11-30 00:00:00"
"2045162","2013-02-07 00:00:00"
"1171134","2012-11-09 00:00:00"
"165495","2012-11-09 00:00:00"
"23118","2012-11-09 00:00:00"
"915751","2012-01-31 00:00:00"
"153863","2013-01-10 00:00:00"
"987244","2012-02-20 00:00:00"
"1510998","2013-02-04 00:00:00"
"637669","2012-05-08 00:00:00"
"98811","2012-08-16 00:00:00"
"285873","2012-09-06 00:00:00"
"1162609","2012-10-30 00:00:00"
"468592","2012-03-18 00:00:00"
"577088","2012-04-27 00:00:00"
"3584","2012-06-06 00:00:00"
"112079","2012-07-11 00:00:00"
"315168","2012-10-29 00:00:00"
"1225413","2012-12-10 00:00:00"
"1805705","2013-01-08 00:00:00"
"928098","2012-04-08 00:00:00"
"330280","2012-05-13 00:00:00"
"902497","2012-08-13 00:00:00"
"1373571","2012-08-13 00:00:00"
"1570343","2013-01-10 00:00:00"
"120518","2013-01-24 00:00:00"
"807969","2012-06-22 00:00:00"
"193903","2012-07-02 00:00:00"
"841915","2012-07-08 00:00:00"
"1031900","2012-11-16 00:00:00"
"1749753","2013-01-02 00:00:00"
"1719752","2013-01-02 00:00:00"
"828625","2012-06-13 00:00:00"
"347777","2012-07-03 00:00:00"
"272520","2012-09-30 00:00:00"
"614005","2012-10-20 00:00:00"
"996703","2012-11-08 00:00:00"
"547122","2012-02-02 00:00:00"
"255257","2013-01-16 00:00:00"
"630668","2012-04-30 00:00:00"
"1244383","2012-05-30 00:00:00"
"305694","2012-07-12 00:00:00"
"907577","2012-10-11 00:00:00"
"1598537","2012-11-05 00:00:00"
"1072112","2012-12-02 00:00:00"
"872395","2012-04-15 00:00:00"
"483731","2012-07-15 00:00:00"
"426894","2012-07-25 00:00:00"
"2998","2012-01-04 00:00:00"
"900626","2012-12-14 00:00:00"
"54506","2012-04-16 00:00:00"
"1584397","2013-02-26 00:00:00"
"170339","2012-07-13 00:00:00"
"456188","2012-08-13 00:00:00"
"191596","2012-08-13 00:00:00"
"656489","2012-01-11 00:00:00"
"785241","2012-07-05 00:00:00"
"1043882","2012-07-26 00:00:00"
"552438","2012-08-02 00:00:00"
"214010","2012-08-10 00:00:00"
"257629","2012-10-15 00:00:00"
"577423","2012-10-28 00:00:00"
"190596","2012-11-06 00:00:00"
"1218762","2013-01-11 00:00:00"
"895646","2012-07-17 00:00:00"
"116509","2012-11-02 00:00:00"
"317076","2012-12-07 00:00:00"
"1200614","2012-04-12 00:00:00"
"1174942","2013-02-25 00:00:00"
"138938","2012-06-16 00:00:00"
"637369","2012-06-21 00:00:00"
"43959","2012-06-26 00:00:00"
"683261","2012-06-27 00:00:00"
"1216976","2012-07-10 00:00:00"
"127320","2012-07-10 00:00:00"
"471214","2012-07-31 00:00:00"
"1541363","2012-10-28 00:00:00"
"1099169","2012-01-24 00:00:00"
"471164","2013-01-02 00:00:00"
"90002","2012-03-15 00:00:00"
"1467328","2012-07-13 00:00:00"
"693207","2012-08-13 00:00:00"
"692572","2012-08-31 00:00:00"
"637284","2012-10-22 00:00:00"
"1558311","2012-11-30 00:00:00"
"74861","2012-12-20 00:00:00"
"544714","2012-02-06 00:00:00"
"150634","2013-02-02 00:00:00"
"168703","2012-09-12 00:00:00"
"1442342","2013-01-31 00:00:00"
"1649309","2013-01-31 00:00:00"
"109122","2013-02-04 00:00:00"
"148897","2012-05-02 00:00:00"
"56763","2012-07-04 00:00:00"
"41596","2012-01-30 00:00:00"
"1193333","2013-01-16 00:00:00"
"643827","2012-09-19 00:00:00"
"1428679","2012-11-09 00:00:00"
"33","2012-11-09 00:00:00"
"308224","2012-11-09 00:00:00"
"1569","2012-11-09 00:00:00"
"72312","2012-10-06 00:00:00"
"773702","2012-02-09 00:00:00"
"1451109","2013-02-14 00:00:00"
"487033","2013-02-25 00:00:00"
"863380","2013-02-27 00:00:00"
"1027798","2012-11-08 00:00:00"
"697560","2012-01-06 00:00:00"
"105672","2012-01-18 00:00:00"
"499214","2013-01-08 00:00:00"
"518955","2012-04-13 00:00:00"
"58791","2013-02-18 00:00:00"
"149341","2012-11-20 00:00:00"
"694852","2012-11-23 00:00:00"
"921204","2013-01-03 00:00:00"
"357743","2012-03-01 00:00:00"
